Word,Phonetic,Type,Meaning,Example,Audio,TopicID,LanguageID,Difficulty
全球化,quánqiúhuà,noun,globalization,全球化趋势,globalization.mp3,4,3,Expert
国际化,guójìhuà,noun,internationalization,国际化发展,internationalization.mp3,4,3,Expert
现代化,xiàndàihuà,noun,modernization,现代化进程,modernization.mp3,4,3,Expert
信息化,xìnxīhuà,noun,informatization,信息化建设,informatization.mp3,4,3,Expert
数字化,shùzìhuà,noun,digitalization,数字化转型,digitalization.mp3,4,3,Expert
智能化,zhìnéng huà,noun,intellectualization,智能化发展,intellectualization.mp3,4,3,Expert
自动化,zìdònghuà,noun,automation,自动化生产,automation.mp3,4,3,Expert
标准化,biāozhǔnhuà,noun,standardization,标准化管理,standardization.mp3,4,3,Expert
规范化,guīfànhuà,noun,normalization,规范化操作,normalization.mp3,4,3,Expert
制度化,zhìdùhuà,noun,institutionalization,制度化建设,institutionalization.mp3,4,3,Expert
法制化,fǎzhìhuà,noun,legalization,法制化进程,legalization.mp3,4,3,Expert
民主化,mínzhǔhuà,noun,democratization,民主化改革,democratization.mp3,4,3,Expert
市场化,shìchǎnghuà,noun,marketization,市场化改革,marketization.mp3,4,3,Expert
产业化,chǎnyèhuà,noun,industrialization,产业化发展,industrialization.mp3,4,3,Expert
城市化,chéngshìhuà,noun,urbanization,城市化进程,urbanization.mp3,4,3,Expert
一体化,yītǐhuà,noun,integration,一体化发展,integration.mp3,4,3,Expert
多元化,duōyuánhuà,noun,diversification,多元化发展,diversification.mp3,4,3,Expert
专业化,zhuānyèhuà,noun,specialization,专业化发展,specialization.mp3,4,3,Expert
规模化,guīmóhuà,noun,scaling,规模化发展,scaling.mp3,4,3,Expert
集约化,jíyuēhuà,noun,intensification,集约化发展,intensification.mp3,4,3,Expert
可持续发展,kěchíxùfāzhǎn,noun,sustainable development,可持续发展战略,sustainable_development.mp3,4,3,Expert
绿色发展,lǜsèfāzhǎn,noun,green development,绿色发展理念,green_development.mp3,4,3,Expert
创新发展,chuàngxīnfāzhǎn,noun,innovative development,创新发展模式,innovative_development.mp3,4,3,Expert
协调发展,xiétiáofāzhǎn,noun,coordinated development,协调发展机制,coordinated_development.mp3,4,3,Expert
开放发展,kāifàngfāzhǎn,noun,open development,开放发展格局,open_development.mp3,4,3,Expert
共享发展,gòngxiǎngfāzhǎn,noun,shared development,共享发展理念,shared_development.mp3,4,3,Expert
高质量发展,gāozhìliàngfāzhǎn,noun,high-quality development,高质量发展要求,high_quality_development.mp3,4,3,Expert
供给侧结构性改革,gōngjícèjiégòuxìnggǎigé,noun,supply-side structural reform,供给侧结构性改革措施,supply_side_structural_reform.mp3,4,3,Expert
需求侧管理,xūqiúcèguǎnlǐ,noun,demand-side management,需求侧管理政策,demand_side_management.mp3,4,3,Expert
供给侧管理,gōngjícèguǎnlǐ,noun,supply-side management,供给侧管理措施,supply_side_management.mp3,4,3,Expert
供给侧改革,gōngjícègǎigé,noun,supply-side reform,供给侧改革措施,supply_side_reform.mp3,4,3,Expert
需求侧改革,xūqiúcègǎigé,noun,demand-side reform,需求侧改革措施,demand_side_reform.mp3,4,3,Expert
结构性改革,jiégòuxìnggǎigé,noun,structural reform,结构性改革措施,structural_reform.mp3,4,3,Expert
制度性改革,zhìdùxìnggǎigé,noun,institutional reform,制度性改革措施,institutional_reform.mp3,4,3,Expert
体制性改革,tǐzhìxìnggǎigé,noun,systemic reform,体制性改革措施,systemic_reform.mp3,4,3,Expert
机制性改革,jīzhìxìnggǎigé,noun,mechanism reform,机制性改革措施,mechanism_reform.mp3,4,3,Expert
政策性改革,zhèngcèxìnggǎigé,noun,policy reform,政策性改革措施,policy_reform.mp3,4,3,Expert
技术性改革,jìshùxìnggǎigé,noun,technical reform,技术性改革措施,technical_reform.mp3,4,3,Expert
管理性改革,guǎnlǐxìnggǎigé,noun,management reform,管理性改革措施,management_reform.mp3,4,3,Expert
服务性改革,fúwùxìnggǎigé,noun,service reform,服务性改革措施,service_reform.mp3,4,3,Expert
创新性改革,chuàngxīnxìnggǎigé,noun,innovative reform,创新性改革措施,innovative_reform.mp3,4,3,Expert
改革性创新,gǎigéxìngchuàngxīn,noun,reform innovation,改革性创新措施,reform_innovation.mp3,4,3,Expert
创新性发展,chuàngxīnxìngfāzhǎn,noun,innovative development,创新性发展模式,innovative_development.mp3,4,3,Expert
发展性创新,fāzhǎnxìngchuàngxīn,noun,developmental innovation,发展性创新措施,developmental_innovation.mp3,4,3,Expert
战略性创新,zhànlüèxìngchuàngxīn,noun,strategic innovation,战略性创新措施,strategic_innovation.mp3,4,3,Expert
战术性创新,zhànshùxìngchuàngxīn,noun,tactical innovation,战术性创新措施,tactical_innovation.mp3,4,3,Expert
技术性创新,jìshùxìngchuàngxīn,noun,technical innovation,技术性创新措施,technical_innovation.mp3,4,3,Expert
管理性创新,guǎnlǐxìngchuàngxīn,noun,management innovation,管理性创新措施,management_innovation.mp3,4,3,Expert
服务性创新,fúwùxìngchuàngxīn,noun,service innovation,服务性创新措施,service_innovation.mp3,4,3,Expert
